SA2_MAINCODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
101021007,371,312,222,123,190,108,113,156,47,1646
101021008,454,610,671,471,837,365,281,413,97,4184
101021009,622,1043,754,714,996,523,296,527,135,5612
101021010,323,518,369,302,463,241,147,230,45,2647
101021011,1703,1950,1226,770,1591,540,349,476,205,8814
101021012,1387,1529,800,710,1400,580,203,366,147,7125
101031013,251,119,127,94,108,62,130,159,27,1067
101031014,348,479,402,393,368,334,189,335,49,2901
101031015,427,210,192,136,199,106,88,193,22,1570
101031016,749,482,595,535,395,397,214,457,72,3899
101041017,303,287,422,344,318,364,147,307,49,2540
101041018,311,485,406,413,350,390,136,310,62,2862
101041019,347,643,469,418,424,385,191,560,47,3480
101041020,687,588,569,407,376,298,236,483,63,3709
101041021,153,260,205,162,158,127,62,98,14,1235
101041022,3,0,0,0,0,0,0,0,0,11
101041023,106,121,188,150,115,127,117,209,16,1152
101041024,224,186,242,168,176,111,88,184,19,1398
101041025,544,645,673,544,461,509,193,472,64,4098
101041026,319,493,482,358,382,314,166,311,54,2875
101041027,380,484,457,373,312,315,134,356,44,2841
101051539,968,1426,1366,1573,1170,1051,799,1175,168,9708
101051540,1253,762,832,671,644,367,441,640,94,5701
101061541,389,530,434,424,430,242,177,277,65,2961
101061542,1447,1268,730,521,897,315,248,470,117,6019
101061543,587,554,631,442,480,499,273,662,52,4189
101061544,883,319,395,251,299,198,202,502,55,3109
102011028,504,1058,515,431,428,323,99,226,44,3630
102011029,639,1081,750,547,680,422,166,371,90,4743
102011030,542,336,330,187,274,149,132,238,50,2249
102011031,774,1327,705,616,849,634,179,462,71,5625
102011032,927,2152,1059,1020,1174,881,386,774,132,8506
102011033,355,491,513,361,509,329,207,326,54,3156
102011034,323,574,462,400,391,324,149,270,53,2944
102011035,326,684,479,394,459,333,185,349,77,3294
102011036,444,801,594,445,594,385,201,393,48,3910
102011037,332,719,351,322,426,306,101,208,42,2814
102011038,404,634,551,366,444,341,145,265,43,3185
102011039,988,1828,841,754,879,629,170,393,99,6574
102011040,936,1620,1415,1205,1327,919,549,1012,191,9178
102011041,661,1222,662,530,641,474,119,300,67,4678
102011042,557,944,825,657,774,539,305,579,123,5289
102011043,431,902,713,622,694,459,276,535,68,4692
102021044,912,1475,1637,1191,1183,1157,586,1032,151,9330
102021045,383,423,729,663,549,527,490,688,92,4551
102021046,305,447,648,500,443,405,316,466,59,3585
102021047,808,1152,1200,848,1035,825,470,778,121,7245
102021048,714,1011,1372,1175,996,920,800,1146,156,8294
102021049,281,315,279,147,209,139,84,169,26,1644
102021050,312,483,706,523,502,472,360,523,72,3956
102021051,305,537,349,266,396,230,156,192,28,2467
102021052,205,258,445,319,292,279,219,292,40,2346
102021053,604,1001,948,803,744,654,330,634,107,5827
102021054,309,532,642,442,428,395,242,419,45,3456
102021055,298,411,366,277,355,264,172,237,37,2409
102021056,772,1048,1000,866,963,787,496,642,114,6700
102021057,298,417,495,451,439,339,270,539,78,3327
103011058,1116,2125,1422,1512,1225,1074,609,1192,166,10443
103011059,505,824,747,671,607,504,370,605,75,4906
103011060,593,549,506,296,387,226,200,309,58,3124
103011061,365,199,272,175,191,136,297,242,48,1930
103021062,766,326,327,262,240,176,220,310,49,2671
103021063,405,492,494,397,377,403,219,529,63,3383
103021064,605,278,256,228,196,153,160,334,53,2262
103021065,788,597,603,412,424,386,336,548,94,4176
103021066,476,176,164,110,129,89,98,176,14,1439
103021067,508,669,703,499,530,454,480,439,84,4376
103021068,464,167,146,107,114,70,120,153,20,1351
103021069,687,264,347,183,240,159,276,306,49,2525
103031070,352,568,795,577,621,415,536,569,87,4523
103031071,379,388,564,426,419,235,438,368,56,3279
103031072,556,760,896,525,519,531,635,559,63,5040
103031073,185,115,191,122,103,73,115,162,19,1083
103031074,816,453,629,346,391,307,506,525,65,4035
103031075,0,0,0,0,0,0,0,0,0,0
103041076,560,460,466,318,365,231,340,430,67,3235
103041077,736,1559,1112,925,899,742,566,964,138,7642
103041078,1055,2021,1380,1069,1316,913,590,844,109,9304
103041079,1135,1007,795,461,705,395,380,578,96,5548
104011080,581,1007,883,1021,891,752,455,812,106,6499
104011081,808,761,802,699,662,553,515,710,103,5610
104011082,607,928,804,691,575,579,321,706,92,5308
104021083,281,593,324,291,214,183,109,222,37,2256
104021084,760,1178,927,889,949,810,366,849,122,6840
104021085,432,803,513,506,493,500,167,504,60,3982
104021086,221,299,262,192,228,170,126,192,36,1735
104021087,277,133,143,129,111,65,94,206,21,1184
104021088,565,974,520,439,557,397,170,340,55,4013
104021089,828,1518,1092,1051,1081,924,465,920,130,8004
104021090,208,352,261,210,206,152,129,247,20,1780
104021091,700,763,665,558,544,390,285,863,93,4863
105011092,304,230,141,243,129,67,85,168,42,1414
105011093,318,241,372,179,186,111,360,214,38,2017
105011094,472,182,144,167,164,83,89,197,38,1527
105011095,505,233,272,217,189,120,232,280,39,2087
105011096,523,296,186,306,197,109,184,302,53,2163
105021097,646,1111,1022,1047,751,704,721,761,138,6902
105021098,385,87,41,103,50,24,35,179,27,932
105031099,754,418,298,334,243,187,190,394,53,2869
105031100,500,843,653,592,654,575,331,548,88,4783
105031101,854,1587,1170,1082,1055,891,425,866,118,8044
105031102,443,620,552,480,504,453,241,446,68,3818
105031103,601,447,445,234,379,234,172,238,47,2793
105031104,527,228,213,221,140,121,132,244,21,1853
105031105,624,334,342,278,272,183,268,287,43,2629
105031106,521,403,374,439,284,235,186,388,51,2879
106011107,605,618,901,438,534,401,691,504,76,4775
106011108,666,848,1322,1025,784,883,986,1139,128,7790
106011109,420,462,603,340,422,294,342,374,56,3312
106011110,608,550,699,358,488,280,363,471,64,3885
106011111,452,663,1274,830,793,709,962,1103,106,6877
106011112,662,943,1314,994,830,634,1357,709,118,7570
106011113,356,240,413,129,239,140,379,254,44,2197
106021114,255,499,507,388,366,322,299,257,51,2941
106021115,1132,2286,1960,1368,1567,1179,1018,1290,163,11957
106021116,493,892,578,362,499,325,263,263,30,3713
106021117,834,1236,1845,1096,1234,1087,1221,1123,171,9845
106021118,528,762,917,532,801,504,457,539,73,5117
106031119,285,370,434,317,257,266,165,259,26,2375
106031120,190,228,421,337,289,235,239,292,49,2282
106031121,951,1307,1283,1066,963,903,362,806,138,7779
106031122,408,588,926,638,670,566,608,786,78,5264
